NHCHATCH Index,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2/17/2010,3/17/2010,4/17/2010,5/17/2010,6/17/2010,7/17/2010,8/17/2010,9/17/2010,10/17/2010,11/17/2010,12/17/2010,1/17/2011,2/17/2011,3/17/2011,4/17/2011,5/17/2011,6/17/2011,7/17/2011,8/17/2011,9/17/2011,10/17/2011,11/17/2011,12/17/2011,1/17/2012,2/17/2012,3/17/2012,4/17/2012,5/17/2012,6/17/2012,7/17/2012,8/17/2012,9/17/2012,10/17/2012,11/17/2012,12/17/2012,1/17/2013,2/17/2013,3/17/2013,4/17/2013,5/17/2013,6/17/2013,7/17/2013
Actual Direction,1,1,1,-1,-1,1,-1,1,-1,-1,-1,1,1,-1,1,-1,1,1,-1,1,-1,1,1,1,1,1,1,-1,1,-1,1,1,1,1,1,-1,1,1,-1,1,-1,-1
 Briefing.com,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,-1,-1,-1,-1,0,0,0,0
 Castle Financial,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 DZ Bank,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,-1
 Intesa Sanpaolo,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,1,-1,-1,1,-1,-1,-1,1,1,1,-1,-1,1,-1,-1,-1,-1,-1,-1,1,1,-1,1,1,-1,1,-1,-1
 Nomura Securities Intl Inc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1
 Pierian Capital,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 Stone & McCarthy Research,1,1,1,-1,-1,1,-1,1,-1,-1,-1,1,-1,-1,1,-1,-1,-1,-1,1,-1,-1,-1,1,1,-1,1,-1,-1,-1,-1,-1,1,-1,0,0,-1,1,-1,-1,-1,-1
Allan von Mehren Danske Bank,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,0,0,0,-1,-1,1,-1,-1,0,-1,-1,-1,0,0,0,0,0,0,0,0,0
Avery Shenfeld CIBC World Markets,0,-1,-1,-1,-1,1,-1,1,-1,-1,-1,-1,1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,1,-1,-1
